Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Draft.LI-DRAFT-AP,DB5.REAL192,Float,1,R/W,1000,,,,,,,,,,,
Draft.LI-DRAFT-FP,DB5.REAL188,Float,1,R/W,1000,,,,,,,,,,,
Draft.LI-DRAFT-P,DB5.REAL196,Float,1,R/W,1000,,,,,,,,,,,
Draft.LI-DRAFT-S,DB5.REAL200,Float,1,R/W,1000,,,,,,,,,,,
Draft.LI-HELL,DB5.REAL204,Float,1,R/W,1000,,,,,,,,,,,
Draft.LI-TRIM,DB5.REAL208,Float,1,R/W,1000,,,,,,,,,,,
EMS.ICMS,DB5.X102.5,Boolean,1,R/W,1000,,,,,,,,,,,
EMS.IL,DB5.X102.6,Boolean,1,R/W,1000,,,,,,,,,,,
EMS.LC,DB5.X103.0,Boolean,1,R/W,1000,,,,,,,,,,,
EMS.MR,DB5.X103.1,Boolean,1,R/W,1000,,,,,,,,,,,
EMS.RST,DB5.X102.7,Boolean,1,R/W,1000,,,,,,,,,,,
LC.StepNo,DB5.INT96,Word,1,R/W,1000,,,,,,,,,,,
LC.StepNoAck,DB5.INT98,Word,1,R/W,1000,,,,,,,,,,,
Pump.BP-01.Enable,DB300.X6.5,Boolean,1,R/W,1000,,,,,,,,,,,
Pump.BP-01.Man,DB300.X6.2,Boolean,1,R/W,1000,,,,,,,,,,,
Pump.BP-01.Mode,DB300.X6.3,Boolean,1,R/W,1000,,,,,,,,,,,
Pump.BP-01.Out,DB300.X6.1,Boolean,1,R/W,1000,,,,,,,,,,,
Pump.BP-01.Run,DB300.X6.0,Boolean,1,R/W,1000,,,,,,,,,,,
Pump.BP-01.Trip,DB300.X6.4,Boolean,1,R/W,1000,,,,,,,,,,,
Pump.BP-02.Enable,DB301.X6.5,Boolean,1,R/W,1000,,,,,,,,,,,
Pump.BP-02.Man,DB301.X6.2,Boolean,1,R/W,1000,,,,,,,,,,,
Pump.BP-02.Mode,DB301.X6.3,Boolean,1,R/W,1000,,,,,,,,,,,
Pump.BP-02.Out,DB301.X6.1,Boolean,1,R/W,1000,,,,,,,,,,,
Pump.BP-02.Run,DB301.X6.0,Boolean,1,R/W,1000,,,,,,,,,,,
Pump.BP-02.Trip,DB301.X6.4,Boolean,1,R/W,1000,,,,,,,,,,,
Pump.BP-03.Enable,DB302.X6.5,Boolean,1,R/W,1000,,,,,,,,,,,
Pump.BP-03.Man,DB302.X6.2,Boolean,1,R/W,1000,,,,,,,,,,,
Pump.BP-03.Mode,DB302.X6.3,Boolean,1,R/W,1000,,,,,,,,,,,
